Utah County, Utah January-December Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,34.3,0.9
199002,34.6,1.2
199003,34.5,1.1
199004,34.5,1.1
199005,34.4,1.0
199006,34.6,1.2
199007,34.6,1.2
199008,34.6,1.2
199009,35.1,1.7
199010,35.1,1.7
199011,35.1,1.7
199012,34.3,0.9
199101,33.8,0.4
199102,34.3,0.9
199103,34.0,0.6
199104,33.4,0.0
199105,33.3,-0.1
199106,33.2,-0.2
199107,33.1,-0.3
199108,33.3,-0.1
199109,32.8,-0.6
199110,32.8,-0.6
199111,32.8,-0.6
199112,33.6,0.2
199201,33.9,0.5
199202,34.2,0.8
199203,34.7,1.3
199204,35.4,2.0
199205,35.9,2.5
199206,36.0,2.6
199207,35.7,2.3
199208,35.6,2.2
199209,35.6,2.2
199210,35.9,2.5
199211,35.4,2.0
199212,35.1,1.7
199301,35.1,1.7
199302,34.4,1.0
199303,34.1,0.7
199304,33.6,0.2
199305,33.5,0.1
199306,33.2,-0.2
199307,32.9,-0.5
199308,32.6,-0.8
199309,32.4,-1.0
199310,32.1,-1.3
199311,32.1,-1.3
199312,32.4,-1.0
199401,32.8,-0.6
199402,32.9,-0.5
199403,33.0,-0.4
199404,33.2,-0.2
199405,33.2,-0.2
199406,33.8,0.4
199407,34.4,1.0
199408,34.9,1.5
199409,35.3,1.9
199410,35.3,1.9
199411,35.3,1.9
199412,35.5,2.1
199501,35.4,2.0
199502,36.1,2.7
199503,36.0,2.6
199504,35.7,2.3
199505,35.2,1.8
199506,34.6,1.2
199507,34.3,0.9
199508,34.1,0.7
199509,34.0,0.6
199510,33.8,0.4
199511,34.6,1.2
199512,34.8,1.4
199601,34.7,1.3
199602,34.2,0.8
199603,34.1,0.7
199604,34.1,0.7
199605,34.4,1.0
199606,34.9,1.5
199607,35.2,1.8
199608,35.1,1.7
199609,34.8,1.4
199610,35.0,1.6
199611,34.7,1.3
199612,34.5,1.1
199701,34.4,1.0
199702,34.1,0.7
199703,34.1,0.7
199704,33.9,0.5
199705,34.0,0.6
199706,34.0,0.6
199707,33.7,0.3
199708,33.9,0.5
199709,34.2,0.8
199710,34.2,0.8
199711,34.3,0.9
199712,33.9,0.5
199801,34.3,0.9
199802,34.7,1.3
199803,34.6,1.2
199804,34.7,1.3
199805,34.6,1.2
199806,34.1,0.7
199807,34.4,1.0
199808,34.4,1.0
199809,34.4,1.0
199810,34.6,1.2
199811,34.6,1.2
199812,34.6,1.2
199901,34.6,1.2
199902,34.5,1.1
199903,34.7,1.3
199904,34.6,1.2
199905,34.4,1.0
199906,34.7,1.3
199907,34.6,1.2
199908,34.6,1.2
199909,34.1,0.7
199910,34.0,0.6
199911,34.1,0.7
199912,34.3,0.9
200001,34.4,1.0
200002,34.8,1.4
200003,34.7,1.3
200004,35.2,1.8
200005,35.6,2.2
200006,35.7,2.3
200007,35.8,2.4
200008,36.0,2.6
200009,36.3,2.9
200010,36.5,3.1
200011,35.6,2.2
200012,35.8,2.4
200101,35.3,1.9
200102,35.0,1.6
200103,35.3,1.9
200104,35.1,1.7
200105,35.1,1.7
200106,35.1,1.7
200107,35.1,1.7
200108,35.0,1.6
200109,35.2,1.8
200110,35.2,1.8
200111,36.0,2.6
200112,35.6,2.2
200201,35.4,2.0
200202,34.9,1.5
200203,34.3,0.9
200204,34.3,0.9
200205,34.0,0.6
200206,34.1,0.7
200207,34.2,0.8
200208,34.0,0.6
200209,33.8,0.4
200210,33.5,0.1
200211,33.1,-0.3
200212,33.5,0.1
200301,34.3,0.9
200302,34.7,1.3
200303,35.2,1.8
200304,35.1,1.7
200305,35.2,1.8
200306,35.1,1.7
200307,35.1,1.7
200308,35.4,2.0
200309,35.3,1.9
200310,35.8,2.4
200311,35.9,2.5
200312,36.0,2.6
200401,35.1,1.7
200402,35.0,1.6
200403,35.2,1.8
200404,35.4,2.0
200405,35.4,2.0
200406,35.5,2.1
200407,35.2,1.8
200408,34.8,1.4
200409,34.8,1.4
200410,34.6,1.2
200411,34.7,1.3
200412,34.5,1.1
200501,35.4,2.0
200502,35.8,2.4
200503,35.4,2.0
200504,35.1,1.7
200505,35.1,1.7
200506,34.8,1.4
200507,34.9,1.5
200508,35.0,1.6
200509,35.0,1.6
200510,34.9,1.5
200511,35.1,1.7
200512,35.0,1.6
200601,34.6,1.2
200602,34.2,0.8
200603,34.1,0.7
200604,34.3,0.9
200605,34.4,1.0
200606,34.8,1.4
