Rich County, Utah January-December Minimum Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199001,28.1,0.7
199002,28.5,1.1
199003,28.5,1.1
199004,28.6,1.2
199005,28.4,1.0
199006,28.4,1.0
199007,28.3,0.9
199008,28.4,1.0
199009,28.9,1.5
199010,28.9,1.5
199011,29.0,1.6
199012,28.1,0.7
199101,27.4,0.0
199102,27.9,0.5
199103,27.6,0.2
199104,27.1,-0.3
199105,27.2,-0.2
199106,27.3,-0.1
199107,27.3,-0.1
199108,27.4,0.0
199109,27.0,-0.4
199110,27.0,-0.4
199111,26.9,-0.5
199112,27.6,0.2
199201,27.8,0.4
199202,27.9,0.5
199203,28.3,0.9
199204,28.9,1.5
199205,29.3,1.9
199206,29.4,2.0
199207,29.2,1.8
199208,29.1,1.7
199209,29.0,1.6
199210,29.3,1.9
199211,29.0,1.6
199212,28.7,1.3
199301,28.7,1.3
199302,27.7,0.3
199303,27.4,0.0
199304,26.9,-0.5
199305,26.8,-0.6
199306,26.4,-1.0
199307,26.0,-1.4
199308,25.6,-1.8
199309,25.5,-1.9
199310,25.3,-2.1
199311,25.1,-2.3
199312,25.4,-2.0
199401,26.1,-1.3
199402,26.5,-0.9
199403,26.5,-0.9
199404,26.8,-0.6
199405,26.9,-0.5
199406,27.2,-0.2
199407,27.8,0.4
199408,28.3,0.9
199409,28.7,1.3
199410,28.7,1.3
199411,28.8,1.4
199412,29.1,1.7
199501,28.8,1.4
199502,29.6,2.2
199503,29.4,2.0
199504,29.2,1.8
199505,28.9,1.5
199506,28.5,1.1
199507,28.3,0.9
199508,28.0,0.6
199509,27.9,0.5
199510,27.6,0.2
199511,28.6,1.2
199512,28.9,1.5
199601,28.9,1.5
199602,28.4,1.0
199603,28.4,1.0
199604,28.3,0.9
199605,28.5,1.1
199606,28.8,1.4
199607,29.1,1.7
199608,29.0,1.6
199609,28.7,1.3
199610,28.9,1.5
199611,28.6,1.2
199612,28.5,1.1
199701,28.4,1.0
199702,28.1,0.7
199703,27.9,0.5
199704,27.8,0.4
199705,27.8,0.4
199706,27.9,0.5
199707,27.7,0.3
199708,28.0,0.6
199709,28.5,1.1
199710,28.4,1.0
199711,28.2,0.8
199712,27.6,0.2
199801,27.9,0.5
199802,28.4,1.0
199803,28.2,0.8
199804,28.4,1.0
199805,28.3,0.9
199806,27.9,0.5
199807,28.3,0.9
199808,28.2,0.8
199809,28.2,0.8
199810,28.4,1.0
199811,28.7,1.3
199812,28.9,1.5
199901,29.0,1.6
199902,28.9,1.5
199903,29.2,1.8
199904,29.2,1.8
199905,29.0,1.6
199906,29.2,1.8
199907,28.9,1.5
199908,28.9,1.5
199909,28.3,0.9
199910,28.0,0.6
199911,28.1,0.7
199912,28.1,0.7
200001,28.0,0.6
200002,28.2,0.8
200003,28.2,0.8
200004,28.5,1.1
200005,28.9,1.5
200006,29.0,1.6
200007,29.1,1.7
200008,29.4,2.0
200009,29.6,2.2
200010,29.9,2.5
200011,28.8,1.4
200012,29.0,1.6
200101,28.3,0.9
200102,27.6,0.2
200103,27.8,0.4
200104,27.7,0.3
200105,27.6,0.2
200106,27.6,0.2
200107,27.7,0.3
200108,27.6,0.2
200109,27.9,0.5
200110,27.8,0.4
200111,28.7,1.3
200112,28.4,1.0
200201,28.5,1.1
200202,28.0,0.6
200203,27.4,0.0
200204,27.4,0.0
200205,27.2,-0.2
200206,27.2,-0.2
200207,27.4,0.0
200208,27.1,-0.3
200209,27.0,-0.4
200210,26.8,-0.6
200211,26.5,-0.9
200212,27.1,-0.3
200301,28.2,0.8
200302,28.9,1.5
200303,29.6,2.2
200304,29.6,2.2
200305,29.8,2.4
200306,29.7,2.3
200307,29.8,2.4
200308,30.2,2.8
200309,29.9,2.5
200310,30.3,2.9
200311,30.2,2.8
200312,30.2,2.8
200401,29.0,1.6
200402,28.8,1.4
200403,28.7,1.3
200404,28.9,1.5
200405,28.8,1.4
200406,28.8,1.4
200407,28.6,1.2
200408,28.1,0.7
200409,28.1,0.7
200410,28.2,0.8
200411,28.4,1.0
200412,28.3,0.9
200501,29.0,1.6
200502,29.1,1.7
200503,28.7,1.3
200504,28.5,1.1
200505,28.6,1.2
200506,28.4,1.0
200507,28.4,1.0
200508,28.5,1.1
200509,28.5,1.1
200510,28.3,0.9
200511,28.5,1.1
200512,28.1,0.7
200601,28.1,0.7
200602,28.0,0.6
200603,28.0,0.6
200604,28.1,0.7
200605,28.2,0.8
200606,28.5,1.1
200607,28.7,1.3
200608,28.6,1.2
200609,28.6,1.2
200610,28.5,1.1
200611,28.4,1.0
200612,28.5,1.1
200701,27.7,0.3
200702,28.3,0.9
200703,28.6,1.2
200704,28.6,1.2
200705,28.6,1.2
200706,28.4,1.0
200707,28.5,1.1
200708,28.8,1.4
200709,29.0,1.6
200710,29.1,1.7
200711,29.0,1.6
200712,28.7,1.3
200801,28.7,1.3
200802,28.2,0.8
200803,27.5,0.1
200804,26.8,-0.6
200805,26.6,-0.8
200806,26.5,-0.9
200807,26.2,-1.2
200808,26.0,-1.4
200809,25.9,-1.5
200810,25.9,-1.5
200811,26.3,-1.1
200812,26.5,-0.9
200901,27.3,-0.1
200902,27.5,0.1
200903,27.9,0.5
200904,28.4,1.0
200905,28.7,1.3
200906,28.7,1.3
200907,28.6,1.2
200908,28.5,1.1
200909,28.8,1.4
200910,28.6,1.2
200911,28.1,0.7
200912,27.6,0.2
201001,27.6,0.2
201002,27.6,0.2
201003,27.7,0.3
201004,27.6,0.2
201005,27.1,-0.3
201006,27.1,-0.3
201007,27.1,-0.3
201008,27.2,-0.2
201009,26.9,-0.5
201010,27.3,-0.1
